smiles,vina_score
CC(C)NCCNC1=CC(C(=O)N2C=CC(C)(F)C=C2c2ccccc2)OC=N1,-8.634
FC1=C2N=CCC(=Cc3cnccc3CNOCC1)c1cc2ccc1F,-5.582
CC(=O)N(C)CC=O,-4.313
CN(CC=N)C(=O)Nc1cccn1C(=O)C1=CCC1,-7.941
Cc1ccc(F)cc1C(=O)C(=O)Br,-6.398
CC(N)=O,-3.323
C=CC=CNC1=CN=C(SC)Cc2ccccc2NSCCN=CC=C1,-6.637
CC[C@H]1NCCNCCNc2cccc(NC=O)c21,-5.495
NC(=O)c1ccccocc2c1C=CC(CCN=O)=CC=COCOCC=N2,-6.468
CCS(=O)CC(=O)CCCCCF,-5.531
CNC=CC=CC=CN(F)C(=O)c1ccc(F)cc1,-8.2
C=CC=CC(NCC(=O)C=CCCl)c1ccccc1Cl,-7.233
CC1=C(Nc2ccc(F)cc2C)C=CC=CN1C(=O)NC1=CC=CC(=O)C1,-8.62
CCNC(=O)c1cc2c3cc1[nH]cnn2C=CC=CC3=O,-6.376
CNCC=CC(C=C(N=Nc1ccccc1)C(C)C)CCNC(N)=O,-8.232
NC(=O)C=CC=C(Br)C(=O)NCC1CC1,-7.069
COC=CC=Nc1cc(F)ccc1Cl,-6.351
CC=CC=C(C=O)NC(=O)Nc1cccc(CC)c1,-8.388
C=CC(=O)c1ccccc1NC(=O)C=C1C=CC=COC1,-7.168
C=C1CC1NC(=O)C1=CC(=CC)c2ccccc2NC=N1,-7.876
CNC(=O)NC=CC=CNC=CC(F)c1ccc(F)cc1,-8.43
O=CC1=CNC(=O)C2=CC=CCC2NC=Cc2ncccc2N1,-6.588
Cc1cc(F)ccc1C=CNC1=CC(C)(C)CNC=N1,-7.722
FC(F)(F)c1cncnn1,-6.506
O=C1CC=C=NCCCCC(=O)NC=CCSC=CC=N1,-5.172
C=NC=c1ccc#cncc2n1CN=NC(NC(=O)[C@H](C)N)C=CC=2,-5.994
NC=CC(C=COC1=CC=CCC=CCC1)C(=O)Nc1ccccc1,-7.232
O=C1CC=CC=CC(F)=CCNc2ccc(Cl)cc2N=CN1,-6.431
O=C(NCC=CN=CCC=CC=C[C@@H]1CO1)c1ccccc1,-8.229
O=Cc1ccccc1F,-5.84
CC(=CC=Cc1c[nH]cn1)C(F)Nc1ccc(F)cc1,-8.854
CC=CC=CN=CC=C(C=CC=NCC=CC1=CC(=O)ONC1=CC)c1ccccn1,-9.142
N#CC(=O)NC1=CC=CC1,-5.633
CCOc1cc2cc(c1)C1=CC1=CC=CNc1ccccc1C2=O,-7.207
CNC(=O)NC=CCC(=O)Nc1ccc(F)cc1C1=CC=CC[SH]1S,-9.006
CC1(C)C=C(c2ccccc2Cl)CSC1,-8.102
O=NC12C=CC(Cl)=CC1C(P)Oc1ccccc1NC2,-5.885
CSC=NCc1ccccc1,-5.876
O=CCCCc1c2cccncnnccnn1C=NC=C2,-6.389
COc1ccccc1N1C=CC(NC=CCC=C2C=CC(F)(F)C2F)C=CC=Cc2ccncc21,-7.872
Cc1cccc(C(C=O)=CC=Cc2cc(F)ccc2C)c1,-10.29
CCC1=CC(N)(C(C)(C)C)NC=CC=C(c2ccc(F)cc2F)C=CC=CC=C1N,-7.471
CC1=CC=CC(=O)CC(C(=O)NC=CC(N)C=Cc2ccccc2C)=CC=CNC1=O,-7.069
COC(=O)c1ccc(C)cc1N=C(N)C(=O)C=N,-7.417
O=C(NC1=CC=C2C3=C(NCCO3)NC12)OCc1ccc(F)cc1F,-10.26
COCCC=CC(=O)N(C)c1c(F)cccc1F,-7.489
CC(C)C=C1C=CC=CCN=CC=NC2=NC12Nc1ccc(Cl)cc1Cl,-6.319
CCOC,-2.808
C=C1C(C=CCNCC2(CCBr)C=CC=CO2)=CCc2ccc(F)cc21,-9.191
