smiles,vina_score
C=CC=CCNc1ncno1,-5.6
CC(C)(C)CC=CNC=C1C=CCNC(=O)Nc2cccc(F)c2CC=N1,-6.768
Fc1[nH]ccccccc1C(F)(F)F,-8.625
C=CC(C)=CC=CNc1ccccc1NC(=O)Nc1ccccc1OC,-9.206
O=C1C=CC(C(=O)NC2CC2)=CC=CCC1,-5.651
Cc1ncccc1CNc1ncc(F)cc1CC=CCC(=O)C=O,-8.818
CC1NC=CC(Nc2ccc(F)cc2F)C=CC2C(=O)CC=CC12,-7.942
CC1CC=CC(C(=O)NC2=C(F)c3cc2c(F)cc3F)=CC1,-8.26
C=CC=CCC(=O)NC1=C(OC(=O)CCCOC)C(C)=CC=CCN1,-6.295
CCNC(C(=O)NCCN=O)c1ccc(F)cc1,-6.877
O=C(C1=C2C=CCNc3ccccc3C21)N1CCNCC1,-7.585
CC=C(F)CC(=O)N=CC=CNCc1ccc(F)cc1,-7.941
CCCNC(=O)c1cc2c(F)cc1C=CC=CC=CCCN2CCC,-6.671
COCC(=O)NC=O,-4.234
O=C1NC=CC=CCCC(c2ccc(F)cc2)=CCSC=Cc2ccccc2N1,-8.746
CC=c1cc2[nH]c(=O)[nH]c3ccccc3c(C)ccc(F)c1=CC=CC=CC=N2,-5.731
Cc1ccccc1C=CCc1cc(F)ccc1CN=CC=O,-9.641
CSC=NC=C(Cc1ccc(F)cc1F)NCC1CCNC1,-9.003
C=Cc1c(C)ccc(C)c1N1c2cc3c(F)cc2CC=CC=C2C(O)=C3CC21CC,-7.972
NC1=C(NC(=O)c2cnccc2C2=C3CCN32)c2ccccc2C1,-9.561
CC(C)(C)CC=C(CF)NC(=O)Nc1c(O)cccc1Cl,-8.384
CC(C)=O,-3.023
N=CCC1=CC=CC=C(N=CC=O)c2ccccc2NC1,-6.465
C=CC=CC1Nc2cnc(OC)cccnnc2N1C(=CC=CNCC(C)C)CF,-8.774
CC1=CC=CC=CC=CNC(C)(C)Cc2ccccc2NCC=CN1,-7.027
CC=CC=CC1OCNC=CC=CC1=Nc1cc(F)ccc1C(=O)OC,-7.176
COCC(=O)c1cccn1C=O,-5.981
CC=CNc1ccccc1OC(=O)C(F)(F)Cl,-6.982
CC=CC=CNC(=O)C[CH]NS(C)=O,-6.035
O=C(Cl)OCC=CC=CCC(F)F,-6.433
O=S1C[CH]C=C(Nc2ccccc2)C(Cl)C1,-5.854
CC(C)(N)c1ccc(F)cc1NCCN=O,-6.562
CO[SH](CC12COCCOC1N1Cc3ccc1cc32)c1ccc(F)cc1,-6.648
C=CCC(=O)Cc1cc(O)ccc1NCC1=NC=NC1,-7.575
CC=Cc1c(Br)cc(F)cccn2c1C(O)=C[SH]=NC=N2,-7.971
CC(F)=CC=C1OC2(C)C=CC(c3cc(F)ccc3C)=C1NC2c1c(Cl)cccc1Cl,-7.571
CN(C=CC=CC(Cl)Oc1ccc(F)cc1)c1cc(N)ccc1C(=O)O,-8.972
CC=CCCCNCCCOC,-5.165
CNC(=O)C=CCF,-4.755
CC=CC=Cc1ccc(F)cc1Cl,-7.634
C=CC=c1ncc(=O)c(=CCC[C@@H](CNC(C)(C)O)C(C)(C)C)cc1Cl,-7.691
C[C@@H]1CC2(NC(=O)c3ccc(F)cc3F)CC=CCC=CCC1CCNC2,-6.02
CC1(C)Cc2ccc1cc2NC(=O)NC1=CN=CC=CCC1,-7.609
CC=CC=C(O)C(=O)Nc1nccc(C(=O)c2ccc(F)cc2F)n1,-10.44
NCc1ccccc1C(F)CCc1cc(F)ccc1NC1=CC=CC=CO1,-8.866
CC=CC=C(OC=C1C=C(CC(=O)NC)C=CC1)c1ccccc1,-8.625
N=CCC1=NC=CC=CC2=C(N=CNCC=CCc3cc(F)ccc32)Nc2ccc(F)cc21,-3.691
CC=CC=CC(C)COc1ccccc1,-7.327
C=CNC(=O)C(=CN[C@H](C)CN)c1ccc(F)cc1F,-7.533
COC=C(F)NC(=O)OC=CCOCc1cccc(F)c1,-7.21
