smiles,vina_score
O=C(NC1=CC=CC1)Nc1ccc(F)cc1Cl,-8.809
Oc1cccc2c1C(c1ccc(F)cc1F)=CCC=C2F,-8.722
CCOC=CC=NC1C=C2C=NCN=C2CCc2ccc(F)cc2C(=O)N1,-7.134
CC(C)(O)NCc1ccccc1Cl,-6.446
Cc1ccccc1CNC(=O)C1=CC=CC(CF)=CC=CC1,-7.511
CC(=O)c1ccccc1F,-6.401
NC(=O)c1ccc(F)cc1C(C=CC=CCF)=CF,-8.058
O=C1C=CC(Nc2ccc(F)cc2F)ONC1,-6.53
CC(C)=CCNc1ccc(F)cc1Cl,-7.301
COC(=O)C=CCC=C(O)c1ccc(F)cc1F,-8.406
Nc1ccc(Cl)cc1NC=CCC(=O)N=Cc1ccccc1Cl,-8.974
CC(=O)Nc1ccccn1,-5.869
COC=CC=CCNC(=O)NC=Cc1ccccc1Cl,-7.86
O=C1C=CC=C(c2ccccc2Cl)C(O)COCCN1,-5.786
N=C1CC=CC=CC=C1Sc1ccccn1,-5.957
Cc1ccc(F)cc1N=CC(N)=O,-6.696
Fc1ccc(C2(C=NCc3ccccc3)NC=CC=CNCS2)c(F)c1,-7.25
CN1CC=CC=C(CNC(C)(O)NCCC(F)c2cccc(F)c2)C1,-7.483
CC=CCNC(=O)COc1cc2cc(C)c1-2,-7.433
c1ccc(SC2=NCC2)cc1,-6.258
COc1ccccc1Cl,-5.525
CC(N)[C@@H]1N=C(N)C=CC=CC=C(C=O)C(c2c(F)cccc2Cl)=Cc2cc(F)ccc2N1,-6.203
COc1ccccc1OCn1[nH][nH]c1=O,-6.915
NCCNC=CC([O-])c1ccc(F)cc1F,-7.311
CN1C(=O)Cc2cc(F)ccc2CCCCc2ccccc21,-6.821
CNC(=O)N=C(Cl)C[C@H](C)c1ccncc1,-7.113
O=C(NC=CC=CC1C=COC=CC=CC1=O)Nc1ccc(F)cc1F,-8.209
CSc1nccc(-c2ccc(F)cc2)n1,-7.371
C=CC=CC(O)CCc1cc(F)ccc1NCCC1=C[N+]C(C)C1,-8.434
CC1=C(Cl)CNc2ccc(F)cc2CC=NCNC1=O,-6.336
COc1ccccc1C=O,-5.742
C=CCc1ccccc1-c1ccccc1C(=O)NC=O,-8.684
CC[SH]1Cc2c(-c3ccnnc3Cc3cc(F)ccc3OC)ccc(F)c21,-9.41
CNc1ccccc1F,-5.653
Cc1cc(Cl)ccc1-c1ccccc1O,-8.225
Cc1ccc(F)cc1F,-6.284
COc1ccccc1C=CC=NC=C1CCCC(=O)NC=C(CNC(=O)c2ccc(F)cc2F)N(C)CC1,-7.965
Cc1ccc(F)cc1Br,-5.926
O=C([O-])NC(=O)Nc1ccccn1,-6.917
O=C(Cl)COc1ccccc1,-5.964
Cc1ccccc1C1=CN(O)Cc2ccc(F)cc2C=CC=NC1,-7.112
CCC1OC=CC=C1NC(=O)Nc1ccccn1,-8.089
O=Cc1ccc(F)cc1F,-6.243
O=CC1(C=O)C=CC=Cc2ccccc2NCN=CC=CC1,-6.278
O=C(NC=CC=CCc1ccc(F)cc1F)C1=CNC1,-8.969
CCOC=C(CCl)NCc1ccc(Cl)cc1F,-7.05
NCC1=C(NC(N)=O)C=C(OCc2ccc(Cl)cc2F)CC=CC=N1,-7.695
C[S+]C1=NCOC=C1Nc1cccc(Cl)c1,-7.162
O=C(COCC=CCC1=CC=CC=CO1)Nc1ccc(F)cc1F,-7.419
