smiles,vina_score
CC1C=CC=CC(=O)NCN=CCc2ccccc2C=CCC[C@@H]1O,-6.974
Fc1cccc2nn(cc1)CC=CNOC2,-5.594
O=C(C=CC=CC1=Cc2ccccc2CC(=O)C=CNC1)Cc1ccncc1,-7.371
Cc1ccccc1OC1C=NCc2ccccc2CNC=N1,-8.033
CNC(=O)C(=O)NC=CC(F)Nc1ccc(F)cc1,-8.16
COCCCNC=O,-4.143
CC(C)(C)CC=CNC(=O)NC=CCN(C=Cc1ccccc1)Cc1ccc(P)cc1,-9.164
C=CC(F)=CC=CC1=C(N=CC)c2ccc(F)cc21,-8.928
O=CCNC(=O)C1=CC=CCC(NC(=O)OCC=Cc2ccc[nH]2)=C1,-7.316
CC(C)(C)CC1=CC1NC(=O)Sc1ccccc1C(N)=O,-8.742
CSC(=O)NC=CCC1=C2C=CC1C2c1ccccc1,-8.864
CC=CC=C(F)c1ccc(Br)cc1,-7.169
CC1=CC=COCC=CC=CC(F)=CCc2cc(F)ccc2N1,-6.99
CCC=CC=C(F)CCNCc1ccccc1F,-8.085
CC1([S+]F)C=CNC(=O)CC=C1OCc1ccc2cc1CC=C2,-6.764
O=CC1=NC2C(=O)N=C(c3ccccc3)Nc3cnccc3CN=C12,-7.207
O=C1C=CCCc2cc(F)ccc2CN=CNC=CC=CN1,-6.585
C=CC1(F)C=C(F)C1.C=CCCN(c1ccccc1)c1ncccc1C=O,-8.371
CN(C)CCNC(=O)C1=CC2=C(C(=O)NCc3ccccc3F)C(=CC1)c1ccccc12,-8.212
C=C1OC(=CC=COCCC=CC=CC)NC(=O)c2cccc1c2,-8.201
C=CC1C=NCNc2ccccc2CC(C)=CC=COC2C(O)=CC2=C1,-6.518
CC=CNC(=O)C1=CC=COC2C(c3ccc(F)cc3Cl)=CC12,-8.361
C=C1C=CC=CC(C=CNCC)NC(=O)Nc2ccccc2Nc2ccccc21,-7.303
C=C1C=CC=COC(=COC(C)NCC)CNc2cc(F)ccc21,-5.928
Cc1ccc(NC(=O)C23COCC=C2C2=CC=CC(=CN=CCO3)C(=O)CO2)c(Cl)c1,-3.699
O=c1[nH]cc(CF)o1,-5.196
C=CC=Cc1cnccc1COC1=C(O)C1,-7.287
O=C1CC=CC=C(Cl)OC=CC=CNC(=O)Nc2cccc(F)c2CC=CNCN1,-7.436
CS(=O)C=CC=Cc1ccccc1F,-7.284
Cc1ccccc1C(=O)NC=NC=N,-7.077
O=CN=CCC(=O)Nc1ccc2cc1NCCCNCOC=C2,-6.342
Nc1ccccc1Br,-6.047
CC=CC(C=CN=CC(F)c1ccc(F)cc1F)Oc1ncccc1NC(N)=O,-9.682
C1=CCN=C(Sc2ccccc2)N=CC=COCC=C1,-6.752
O=C(C=C1C=CCCC1)N=CNc1ccccc1C(=O)O,-10.02
OC1=CC=CC(c2cccc(C3=C(Cl)C=CC3)c2)C1,-9.898
CC=c1c2c3ccccc(=O)n4c1=CC2(C#[N+]C=C4)CCCNCN=CCN3,-5.748
C=C1C=CC(c2ccc(Cl)cc2Cl)N=CON=CNCCOC1,-7.036
CC(N)c1ncccc(Nc2cc3ccc2CC3(C)C)[nH]cnc2ccccc2c(=O)nn1,-6.979
Cc1cnccc1SCC(=O)CC(=O)c1ccccc1N=N,-9.121
N#COCC=CC1=COC2=CC=COCC1c1ccccc1N2,-5.068
Cc1ccco1,-4.347
CC1CC=CC(NC(=O)CC=CC2C=CCC2(C)F)SC=NC1,-7.009
C=Nc1cc(C)ccc1NC(=O)C(=O)NC(=CC=COC)C(F)(F)F,-7.416
O=C1NC=CC=C(NC(=O)c2ccc(Cl)cc2Br)C(N2CCOCC2)=NCCN1,-10.27
O=C1NCCCCC=CC=C1C(=O)OCc1c(Cl)cccc1Cl,-7.532
NC1C2=CC=C(COCCC=CC=CNC(=O)CSC2)Nc2ccccc21,-6.417
O=C1C=CC(NC=CC(F)OCc2ccccc2)C(=O)c2ccccc2C=CC=CCN1,-2.811
CC[CH]C=CCC(=O)NC=CC1=CC=CC(CF)=CCC1,-9.303
CCCC=CC1=CCCCOC=CC=CNCNCN=NC=NC(=O)Cc2ccc(F)cc2CC=N1,-7.238
